emp_length,Total_Applications,Total_Funded_Amount,Total_Amount_Received,Avg_Interest_Rate
"1 year",3229,32883125.0,35498348.0,12.0529668628057
"10+ years",8870,116115950.0,125871616.0,12.092662908681
"2 years",4382,44967975.0,49206961.0,12.0714103149246
"3 years",4088,43937850.0,47551832.0,12.0169838551859
"4 years",3428,37600375.0,40964850.0,12.1668086347724
"5 years",3273,36973625.0,40397571.0,12.0270363580812
"6 years",2228,25612650.0,27908658.0,12.0730430879713
"7 years",1772,20811725.0,22584136.0,12.1753555304741
"8 years",1476,17558950.0,19025777.0,11.9060840108401
"9 years",1255,15084225.0,16516173.0,11.9123266932271
"< 1 year",4575,44210625.0,47545011.0,11.9176590163934
