purpose,Total_Applications,Total_Funded_Amount,Total_Amount_Received,Avg_Interest_Rate,Default_Rate
"Debt consolidation",18214,232459675.0,253801871.0,12.5042582628745,14.554738113539
"credit card",4998,58885175.0,65214084.0,11.7306802721088,10.1640656262505
other,3824,31155750.0,33289676.0,11.8585277196652,15.3504184100418
"home improvement",2876,33350775.0,36380930.0,11.4013421418637,11.3699582753825
"major purchase",2110,17251600.0,18676927.0,10.8689573459716,9.76303317535545
"small business",1776,24123100.0,23814817.0,13.0295326576577,25.6193693693694
car,1497,10223575.0,11324914.0,10.5921108884436,10.3540414161657
wedding,928,9225800.0,10266856.0,11.8929849137931,9.26724137931035
medical,667,5533225.0,5851372.0,11.5708545727136,14.9925037481259
moving,559,3748125.0,3999899.0,11.5919677996422,15.0268336314848
house,366,4824925.0,5185538.0,12.3807103825137,15.5737704918033
vacation,352,1967950.0,2116738.0,10.8752840909091,14.2045454545455
educational,315,2161650.0,2248380.0,11.6544761904762,15.8730158730159
renewable_energy,94,845750.0,898931.0,11.4962765957447,18.0851063829787
